product_id,product_name,category,description,customization_fields,base_price,currency,availability,materials,color_options,gallery_images_count,variants_count
KP011,Custom Leatherette Diary,Leather Diaries & Notebooks,"Elegant leatherette cover diary with personalized name engraving or logo UV print. Includes ruled sheets of high-quality paper, ideal for journaling, note-taking, or corporate planning.","[{""name"": ""Name to Engrave / Emboss"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter Name""}, {""name"": ""Diary Cover Color"", ""type"": ""select"", ""options"": [""Classic Brown"", ""Midnight Black"", ""Tan Leather"", ""Navy Blue""], ""required"": true}]",349,INR,Custom Order,"Leatherette, Paper","Black, Brown, Navy Blue, Tan",1,1
KP012,Executive Diary & Engraved Pen Gift Set,Leather Diaries & Notebooks,"A premium gift combo containing a personalized leatherette diary and a matching custom-engraved name pen. Perfectly packaged in a gift box, making it a highly professional corporate gift set.","[{""name"": ""Name for Diary & Pen"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter Name for personalization""}, {""name"": ""Gift Set Theme Color"", ""type"": ""select"", ""options"": [""Matching Brown Set"", ""Matching Black Set"", ""Tan Leather Set""], ""required"": true}]",549,INR,Custom Order,"Leatherette, Metal, Paper","Matching Black, Matching Brown, Tan Leather",2,2
KP013,Custom Acrylic / ACP UV Printed Photo Plaque,UV Prints & Photo Plaques,"High-definition UV printing directly on acrylic or aluminum composite panels (ACP). Captures vibrant colors and fine details, creating a modern, borderless frame effect for photos, memorials, or brand statements.","[{""name"": ""Photo Upload / Text Details"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Provide photo reference or text""}, {""name"": ""Material Type"", ""type"": ""select"", ""options"": [""Glossy Acrylic (3mm)"", ""ACP Brushed Metal Finish""], ""required"": true}, {""name"": ""Size Option"", ""type"": ""select"", ""options"": [""A5 Small"", ""A4 Medium"", ""A3 Large""], ""required"": true}]",699,INR,Custom Order,"ACP Panel, Acrylic",Multicolor UV Print,2,2
KP014,Custom Acrylic Trophy & Memento,Trophies & Mementos,"Tailor-made trophies and mementos designed for corporate achievements, festivals, or family appreciation (e.g. 'Best Sister'). Features high-precision acrylic cutting and custom printing.","[{""name"": ""Title Text"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., Best Sis in the World""}, {""name"": ""Awardee / Subtext"", ""type"": ""text"", ""required"": false, ""placeholder"": ""Awardee name/details""}, {""name"": ""Trophy Shape"", ""type"": ""select"", ""options"": [""Star Shield"", ""Classic Rectangular"", ""Custom Cutout Shape""], ""required"": true}]",349,INR,Custom Order,Acrylic,Custom Printing,3,3
KP015,Personalized Metal Kada / Bracelet,Jewelry & Accessories,"Stylish, adjustable stainless steel Kada (wrist bracelet) customized with your name or special text engraved. Comfortable for daily wear and resistant to rust or tarnishing.","[{""name"": ""Name to Engrave"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter Name / Text""}, {""name"": ""Finish Option"", ""type"": ""select"", ""options"": [""Polished Silver"", ""Rose Gold"", ""Gold Plated""], ""required"": true}]",299,INR,Custom Order,Stainless Steel,"Gold, Rose Gold, Silver",1,1
KP016,Custom Pearl Pendant Necklace,Jewelry & Accessories,"Elegant necklace featuring a pearl accent and a customized locket pendant. A delicate and beautiful jewelry piece perfect for special occasions, anniversaries, or Valentine's gifting.","[{""name"": ""Locket Text / Initial"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter name or initial""}, {""name"": ""Locket Finish"", ""type"": ""select"", ""options"": [""Rose Gold"", ""Gold Plated"", ""Silver Finish""], ""required"": true}]",399,INR,Custom Order,"Metal, Pearls","Gold, Rose Gold, Silver",1,1
KP017,Custom Engraved Pet Name Tag,Pet Accessories,"Mini name tags for dogs and cats. Custom engraved with the pet's name on the front and owner's contact details on the back. Lightweight, rustproof, and designed to attach easily to collars.","[{""name"": ""Pet's Name"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., Rocky""}, {""name"": ""Owner's Phone Number"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., 9876543210""}, {""name"": ""Tag Shape"", ""type"": ""select"", ""options"": [""Bone Shape"", ""Heart Shape"", ""Classic Circle""], ""required"": true}]",129,INR,Custom Order,Metal,"Blue, Gold, Red, Silver",1,1
KP018,Custom 3D Metal / Acrylic Letters,Business Signage & Letters,"Premium 3D individual cut-out letters made of stainless steel (SS Rose Gold, Titanium) or acrylic. Perfect for mounting on home bungalow walls, building facades, or office reception backdrops.","[{""name"": ""Text to Display"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter words/letters""}, {""name"": ""Material / Color Finish"", ""type"": ""select"", ""options"": [""SS Rose Gold Titanium"", ""SS Mirror Gold"", ""Glossy Black Acrylic"", ""White Acrylic""], ""required"": true}, {""name"": ""Letter Height (inches)"", ""type"": ""select"", ""options"": [""4 inches"", ""6 inches"", ""8 inches"", ""12 inches"", ""Custom Size""], ""required"": true}]",1999,INR,Custom Order,"Acrylic, Metal, Stainless Steel","Black, Golden, Mirror Gold, Rose Gold Titanium, White",2,2
KP019,Custom Business Signage & Branding Plate,Business Signage & Letters,"Customized brand signs, signage frames, machine rating plates, and promotional branding plates. Tailor-made for storefronts, industrial machinery labeling, or brand setups.","[{""name"": ""Signage Details / Requirements"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Explain requirements / dimensions""}, {""name"": ""Material Selection"", ""type"": ""select"", ""options"": [""Acrylic"", ""ACP Sheet"", ""Metal Engraved Plate""], ""required"": true}]",999,INR,Custom Order,"ACP Panel, Acrylic, Metal",Custom Design,5,5
KP020,Custom Religious / Decorative Art Plaque,Wall Art & Nameplates,"Artistic wall or desk plaques featuring Hindu deities (Ganesha, Swami Samarth, etc.) or decorative spiritual calligraphic motifs. Crafted with acrylic/wood overlays for a 3D layered look.","[{""name"": ""Deity / Art Theme"", ""type"": ""select"", ""options"": [""Ganesha Art"", ""Shree Swami Samarth"", ""Mahakal Calligraphy Art"", ""Custom Spiritual Symbol""], ""required"": true}, {""name"": ""Mounting Type"", ""type"": ""select"", ""options"": [""Wall Mount"", ""Desk Stand (with base)""], ""required"": true}]",499,INR,Custom Order,"Acrylic, Wood","Golden, Multicolor, Rose Gold",2,3
KP021,Non-Catalog Brand Showcase,Brand Showcase,"Portfolio posts showing Kalaasutra workshop capabilities, laser/UV machinery in action (e.g. UV marking machine setup), or general contact details. Not a retail product.",[],0,INR,Showcase Only,,Red,13,13
